"","last_first","player_id","year","ppa","hitcountrate","pa","bb_percent","b_total_pitches","xslg","squared_up_swing","exit_velocity_avg","oz_swing_percent","whiff_percent","flyballs_percent"
"1","CJ Abrams",682928,2024,3.755813953,0.1718266254,602,6.6,2261,0.409,24.7,88.2,64.6,75.3,28
"2","José Abreu",547989,2024,4.05,0.1746031746,120,3.3,486,0.24,21.4,87.8,66.7,70.3,25.6
"3","Wilyer Abreu",677800,2024,4.040268456,0.2158119658,447,8.9,1806,0.418,22.6,91.6,71.8,70.4,34.1
"4","Ronald Acuña Jr.",660670,2024,4.076576577,0.3185840708,222,12.2,905,0.427,22.3,92.2,78.6,72.5,21.6
"5","Luisangel Acuña",682668,2024,3.4,0.1590909091,40,2.5,136,0.424,23.5,91,69.2,75.7,24.2
"6","Willy Adames",642715,2024,3.972383721,0.2363387978,688,10.8,2733,0.461,21.1,88.6,71.9,70.5,36.4
"7","Jordyn Adams",677941,2024,4.157894737,0.2051282051,38,7.9,158,0.38,20,88,68.4,68.3,26.1
"8","Riley Adams",656180,2024,4.084615385,0.2132352941,130,7.7,531,0.341,18.8,89.9,69.8,71.9,21.7
"9","Jo Adell",666176,2024,4.079822616,0.2473347548,451,7.8,1840,0.418,18.2,89.8,70.3,70.2,31.6
"10","Ehire Adrianza",501303,2024,4.214285714,0.2580645161,28,7.1,118,0.292,29.3,88.4,73.3,64.6,33.3
"11","Nick Ahmed",605113,2024,3.73245614,0.1688311688,228,4.8,851,0.32,22.5,84.9,63.9,74,21.2
"12","Ozzie Albies",645277,2024,3.790804598,0.1745689655,435,6.2,1649,0.387,26.9,88.4,66.4,79.5,29
"13","Kevin Alcantara",682634,2024,2.6,0.1,10,0,26,0.256,41.7,86.3,80,92.3,11.1
"14","Blaze Alexander",677942,2024,3.859459459,0.2227979275,185,8.1,714,0.281,19.9,88.5,70.8,70.4,25.4
"15","Nick Allen",669397,2024,3.39047619,0.1028037383,105,4.8,356,0.246,30.7,84.4,72.7,81.2,13.8
"16","Pete Alonso",624413,2024,4,0.2452350699,695,10.1,2780,0.461,22.8,89.8,74.1,75.3,28.2
"17","Jose Altuve",514888,2024,3.598240469,0.1886524823,682,6.9,2454,0.399,26.1,86.5,62.7,77.9,25.9
"18","Nacho Alvarez Jr.",805373,2024,3.71875,0.1818181818,32,0,119,0.223,20.4,83.8,66.7,71.9,10
"19","Armando Alvarez",669137,2024,3.564102564,0.175,39,5.1,139,0.341,29.6,80.8,66.7,81.2,27.6
"20","Eddy Alvarez",657193,2024,4.909090909,0.4545454545,11,9.1,54,0.208,26.3,89.1,68.7,66.7,14.3
"21","Francisco Alvarez",682626,2024,3.891812865,0.2227848101,342,8.8,1331,0.358,22.8,88.8,71.1,70.4,20.5
"22","Yordan Alvarez",670541,2024,3.565354331,0.2299703264,635,10.9,2264,0.595,27.8,93.1,69.5,80.1,36.2
"23","Adael Amador",691182,2024,3.305555556,0.1111111111,36,2.8,119,0.333,23,88.2,51.9,79.7,41.4
"24","Jacob Amaya",676070,2024,4.180555556,0.28,72,5.6,301,0.222,29.2,87.8,80.8,72.3,17.5
